method,input_dim,scheme,threshold_ratio,ratio_val_acc,adc_bits,weight_bits,timesteps,val_acc,test_acc
nearest_8x8,64,B,0.3,0.847,12,4,20,0.7958,0.8024
nearest_8x8,64,B,0.3,0.847,12,6,1,0.7908,0.7987
nearest_8x8,64,B,0.3,0.847,12,6,3,0.7908,0.7987
nearest_8x8,64,B,0.3,0.847,12,6,5,0.7908,0.7987
nearest_8x8,64,B,0.3,0.847,12,6,10,0.7908,0.7987
nearest_8x8,64,B,0.3,0.847,12,6,20,0.7908,0.7987
nearest_8x8,64,B,0.3,0.847,12,8,1,0.7926,0.8001
nearest_8x8,64,B,0.3,0.847,12,8,3,0.7926,0.8001
nearest_8x8,64,B,0.3,0.847,12,8,5,0.7926,0.8001
nearest_8x8,64,B,0.3,0.847,12,8,10,0.7926,0.8001
nearest_8x8,64,B,0.3,0.847,12,8,20,0.7926,0.8001
avgpool_8x8,64,B,0.3,0.9015,6,2,1,0.8456,0.855
avgpool_8x8,64,B,0.3,0.9015,6,2,3,0.8456,0.855
avgpool_8x8,64,B,0.3,0.9015,6,2,5,0.8456,0.855
avgpool_8x8,64,B,0.3,0.9015,6,2,10,0.8456,0.855
avgpool_8x8,64,B,0.3,0.9015,6,2,20,0.8456,0.855
avgpool_8x8,64,B,0.3,0.9015,6,3,1,0.862,0.8699
avgpool_8x8,64,B,0.3,0.9015,6,3,3,0.862,0.8699
avgpool_8x8,64,B,0.3,0.9015,6,3,5,0.862,0.8699
avgpool_8x8,64,B,0.3,0.9015,6,3,10,0.862,0.8699
avgpool_8x8,64,B,0.3,0.9015,6,3,20,0.862,0.8699
avgpool_8x8,64,B,0.3,0.9015,6,4,1,0.8676,0.8765
avgpool_8x8,64,B,0.3,0.9015,6,4,3,0.8676,0.8765
avgpool_8x8,64,B,0.3,0.9015,6,4,5,0.8676,0.8765
avgpool_8x8,64,B,0.3,0.9015,6,4,10,0.8676,0.8765
avgpool_8x8,64,B,0.3,0.9015,6,4,20,0.8676,0.8765
avgpool_8x8,64,B,0.3,0.9015,6,6,1,0.8702,0.8785
avgpool_8x8,64,B,0.3,0.9015,6,6,3,0.8702,0.8785
avgpool_8x8,64,B,0.3,0.9015,6,6,5,0.8702,0.8785
avgpool_8x8,64,B,0.3,0.9015,6,6,10,0.8702,0.8785
avgpool_8x8,64,B,0.3,0.9015,6,6,20,0.8702,0.8785
avgpool_8x8,64,B,0.3,0.9015,6,8,1,0.8694,0.8789
avgpool_8x8,64,B,0.3,0.9015,6,8,3,0.8694,0.8789
avgpool_8x8,64,B,0.3,0.9015,6,8,5,0.8694,0.8789
avgpool_8x8,64,B,0.3,0.9015,6,8,10,0.8694,0.8789
avgpool_8x8,64,B,0.3,0.9015,6,8,20,0.8694,0.8789
avgpool_8x8,64,B,0.3,0.9015,8,2,1,0.848,0.8574
avgpool_8x8,64,B,0.3,0.9015,8,2,3,0.848,0.8574
avgpool_8x8,64,B,0.3,0.9015,8,2,5,0.848,0.8574
avgpool_8x8,64,B,0.3,0.9015,8,2,10,0.848,0.8574
avgpool_8x8,64,B,0.3,0.9015,8,2,20,0.848,0.8574
avgpool_8x8,64,B,0.3,0.9015,8,3,1,0.8672,0.8734
